symbol,market_cap
BTC,2364459934631.606
ETH,525193409372.4902
XRP,176458551344.36075
USDT,175011380587.55325
BNB,142827382004.49805
SOL,120471530375.77966
USDC,74167199439.66025
DOGE,37546811208.917564
TRX,32363827101.302303
ADA,30447497316.168934
HYPE,15875395826.76218
LINK,15313066068.441648
USDe,14758309881.428032
AVAX,12965817117.227436
XLM,12706225616.810026
SUI,12571318143.987778
BCH,11821696415.090675
HBAR,9499559134.977789
LTC,8791060254.089256
LEO,8840839862.438078
SHIB,7296424658.370066
CRO,7083603763.933589
TON,7018865153.333617
DOT,6687672329.986615
MNT,6169219855.406991
XMR,5798105723.984854
DAI,5364870589.27287
UNI,5081188067.771949
WLFI,5062075309.619972
AAVE,4367268766.113839
PEPE,4111148073.859298
OKB,4027863561.6382976
ENA,3994188655.610653
BGB,3685822975.34479
NEAR,3535731928.372801
APT,3425371140.4122744
TAO,3192624066.7633457
MYX,3126764585.4521074
ETC,3003885491.4385867
ONDO,2955604885.4393063
WLD,2838260906.970812
IP,2767060588.165097
ASTER,2709622919.4463105
USD1,2683629438.8341675
POL,2507313052.7177267
PUMP,2494176925.0896525
PYUSD,2428892849.483191
ICP,2416102042.892239
M,2367862067.1303835
ARB,2350748314.9369864
PI,2225520421.5079074
KAS,2134863790.4225588
KCS,2017335706.513813
VET,1992815282.2999349
PENGU,1975940362.524279
FLR,1963235733.3908727
ZEC,1949874791.945169
ATOM,1945167682.4869533
ALGO,1941516316.176915
RENDER,1840385402.032145
SEI,1822668816.6342304
XPL,1702654646.562083
BONK,1672396568.0711432
SKY,1657437161.7177312
FIL,1592082367.3762114
TRUMP,1516398823.4997756
JUP,1462527850.8486235
FET,1409019636.636777
IMX,1358128481.6496336
GT,1346908640.9703462
XDC,1333346531.8399937
INJ,1261126272.3496027
QNT,1261753072.1077192
OP,1252733632.5208485
TIA,1163136831.0991762
PAXG,1152293507.2513554
STX,1088838814.479035
FDUSD,1083718499.817688
LDO,1067760259.175688
SPX,1038247585.0291884
CRV,1022818258.9821742
AERO,978278564.743504
XAUt,952942095.3578564
DEXE,940042796.906829
KAIA,951808481.0618666
PYTH,904873775.79373
GRT,892196360.5980346
CAKE,889680496.4429033
PENDLE,818047269.7432289
NEXO,813120648.4273952
FLOKI,809060383.53366
S,809736671.6035955
ENS,788032439.0693463
RLUSD,789624060.535646
RAY,765487187.6319917
CFX,766159283.4664232
WIF,763311638.6753962
XTZ,744724534.161368
ETHFI,737594558.4954901
THETA,728970692.4439241
SAND,727257349.4063911
IOTA,725819893.3365164
VIRTUAL,711734408.1098527
GALA,711325259.3403996
STRK,680356576.8152272
AB,665276520.1934958
A,653302166.0969992
JASMY,647326718.0955384
FARTCOIN,629600236.659437
JTO,631305702.323834
ATH,632976664.2530371
MORPHO,621314362.1539216
MANA,606193401.6098932
FLOW,599831635.2622743
BTT,592974638.4828534
0G,588115048.0932533
WAL,585305627.2369941
EIGEN,577955324.0747893
TWT,566509245.3952429
ZRO,559048826.9194018
DEEP,552681715.6208774
BSV,530686443.2393693
W,528457552.510252
TUSD,494117142.000069
HNT,491335973.9166197
SYRUP,487152920.7887698
SUN,487855514.2086111
DYDX,482995519.0357348
USDD,470158039.4219076
FF,466174491.7740118
CHZ,446162552.4437274
SNX,436683553.65441567
ZK,440240195.7279523
BRETT,432071482.5464929
NFT,430283153.527436
NEO,429308852.7651631
RUNE,421630293.75560886
APE,420515211.9373462
COMP,417480868.8458329
RSR,416482510.85467935
LINEA,412975913.8124579
BEAM,414007949.1868384
XCN,412512151.55112296
FORM,401568539.5187496
CORE,398553520.92781705
GNO,397989678.373513
EGLD,391424724.6903122
AR,389656404.164676
DASH,388223867.6484031
SUPER,379953697.420998
ZBCN,378914882.69739735
AXS,370524770.7361753
XEC,366474464.74880207
1INCH,367319954.2582286
BERA,364155640.9692237
KAVA,355266013.59874904
KAITO,345983735.2295986
AIOZ,343259639.62181777
RON,331049155.246241
CVX,327715560.9074345
DRIFT,325496435.408096
JST,322641780.9400209
TOSHI,319204419.5843287
WEMIX,319177344.87915725
AVNT,308002443.66012126
FTT,307220107.35906976
LUNC,307491382.74292153
AXL,306549072.77047545
MOVE,305697039.85112864
DCR,302003006.3726007
MOCA,298919284.14566875
PLUME,295489464.5156845
SNEK,295290691.85710865
B,294155524.4913507
LPT,291953425.4593966
MERL,284818401.4288362
AKT,287254660.5512948
MOG,283246776.5835256
XAN,283783518.9389394
CTC,278130581.1023006
AMP,268673380.5143352
KSM,258126714.61722893
BIO,257351768.7382297
TURBO,253569475.663859
EURC,253259821.31852704
SFP,249553969.3876936
MEW,245505496.6590856
MX,243432106.28944275
SAFE,242114984.65213463
QTUM,238101040.2056968
VELO,237386961.03971496
ZORA,230732916.60340208
DOG,227189114.1900641
TFUEL,227233324.66448164
AWE,228108059.9050099
POPCAT,226959911.840628
BAT,226278028.3404442
GLM,225436692.1861932
IOTX,219792680.24218827
PNUT,215884627.32236835
